ID,TL_mm,weight,sex,area,capt_date,age,cohort,year,inc_um,rad_um,core,OH,d18O,sims_dist,"Sr[, 2]"
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,2,202,641.4,132.2,0.0444,-8.1259746,590.1220213,0.00151188034188034
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,2,202,641.4,132.2,0.04,-5.9046517,624.5998719,0.00187923076923077
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,3,216.9,858.3,132.2,0.0452,-7.9416727,659.3822867,0.0019983547008547
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,3,216.9,858.3,132.2,0.042,-8.067774,694.164966,0.00204786324786325
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,3,216.9,858.3,132.2,0.0408,-8.3878773,728.6425736,0.00195025641025641
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,3,216.9,858.3,132.2,0.0409,-8.5624791,763.4251764,0.00222166666666667
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,3,216.9,858.3,132.2,0.0382,-8.4072775,797.9028763,0.00261202991452991
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,3,216.9,858.3,132.2,0.043,-5.2838453,832.6854148,0.00217094017094017
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,4,242.1,1100.4,132.2,0.0429,-8.5721792,867.1631911,0.00199745726495726
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,4,242.1,1100.4,132.2,0.0424,-8.9504831,901.9456746,0.00212222222222222
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,4,242.1,1100.4,132.2,0.0434,-9.3093868,936.4235153,0.00212576923076923
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,4,242.1,1100.4,132.2,0.0419,-8.9795834,971.2059514,0.00220051282051282
BH-00391,903,5220,f,Barthe,2019-07-11,9,2010,4,242.1,1100.4,132.2,0.0384,-8.9601832,1005.988569,0.00232690170940171
