fishID,TL_mm,weight,sex,area,capt_date,age,cohort,year,OH,d18O_oto,d18O_oto_cor,diff,sims_dist
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0169,-6.0889536,-5.83583100791711,-0.25312259208289,395.6677899
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0406,-6.1180539,-5.50996057227424,-0.608093327725759,430.7806867
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0392,-7.0492635,-6.46213890771306,-0.587124592286939,465.8937647
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,1,0.0394,-5.7106497,-5.12052957407894,-0.590120125921056,501.006986
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0397,-6.6321592,-6.03754577362777,-0.594613426372232,536.1203223
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0404,-8.2423758,-7.63727800590836,-0.605097794091641,571.2337525
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0403,-7.9125724,-7.30897237272542,-0.603600027274583,606.3472602
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0406,-8.1259746,-7.51788127227424,-0.608093327725759,641.4608328
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0413,-8.5042785,-7.88570080455483,-0.618577695445168,676.5744601
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0401,-8.7273808,-8.12677630635954,-0.600604493640466,711.6881339
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0423,-8.2520759,-7.61852053638425,-0.633555363615753,746.8018479
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0403,-7.0201632,-6.41656317272542,-0.603600027274583,781.9155965
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,2,0.0411,-6.2829556,-5.66737343818895,-0.615582161811051,817.0293752
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,3,0.0389,-7.8446717,-7.26204040816424,-0.582631291835764,852.1431805
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,3,0.0404,-8.5139786,-7.90888080590836,-0.605097794091641,887.257009
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,3,0.041,-8.6400799,-8.02599550500601,-0.614084394993993,922.3708582
BH-00392,930,5600,f,freshwater,2019-07-11,7,2012,3,0.0434,-8.9989836,-8.3489528013966,-0.650030798603398,957.4847257
