area,date,cohort,month,d18O,d18O_cor,d18O_W
Tributary,2019-04-01,2016,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2014,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2018,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2010,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2017,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2012,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2013,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2009,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-04-01,2015,4,-7.81037088018648,-7.96869625832176,-7.25
Tributary,2019-05-01,2016,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2014,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2018,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2010,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2017,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2012,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2013,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2009,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-05-01,2015,5,-7.65519189114219,-7.82018556372189,-6.8
Tributary,2019-06-01,2016,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2014,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2018,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2010,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2017,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2012,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2013,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2009,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-06-01,2015,6,-7.46229782797203,-7.66229491692764,-6.35
Tributary,2019-07-01,2016,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2014,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2018,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2010,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2017,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2012,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2013,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2009,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-07-01,2015,7,-7.29717001841492,-7.51399172719952,-5.9
Tributary,2019-08-01,2016,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2014,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2018,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2010,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2017,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2012,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2013,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2009,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-08-01,2015,8,-7.24263239324009,-7.49858160204162,-5.38803607214429
Tributary,2019-09-01,2016,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-09-01,2014,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
Tributary,2019-09-01,2018,9,-7.0350185979021,-7.30502251960955,-5.12342284569138
